DEPT,GR,RHOB,DT,ILD,SP,CALD,DRHO
337.0,93.65,2.45,244.15,2.82,1.76,8.23,0.01
337.5,93.99,2.46,244.22,2.92,1.47,8.22,0.01
338.0,91.68,2.47,244.62,2.97,1.2,8.24,0.01
338.5,88.4,2.48,245.0,2.99,0.95,8.24,0.02
339.0,92.1,2.49,244.88,3.04,0.7,8.25,0.02
339.5,100.99,2.47,244.58,3.16,0.39,8.24,0.01
340.0,104.91,2.45,244.13,3.32,0.01,8.25,-0.0
340.5,103.07,2.44,244.01,3.47,-0.36,8.25,-0.01
341.0,98.35,2.44,244.56,3.53,-0.88,8.25,-0.0
341.5,92.57,2.46,244.92,3.43,-1.72,8.25,0.01
342.0,85.24,2.47,244.85,3.23,-2.93,8.25,0.01
342.5,81.75,2.36,244.58,3.04,-4.66,8.31,-0.01
343.0,83.52,2.15,244.63,2.9,-6.93,8.45,-0.03
343.5,86.91,1.98,244.94,2.77,-9.46,8.15,-0.0
344.0,96.75,2.0,244.64,2.6,-11.93,8.15,0.04
344.5,110.04,2.14,243.69,2.4,-13.77,8.15,0.05
345.0,116.17,2.26,243.39,2.19,-13.92,8.15,0.03
345.5,114.23,2.34,243.72,2.04,-13.65,8.15,0.03
346.0,114.75,2.36,243.93,1.96,-13.71,8.15,0.03
346.5,119.67,2.36,243.83,1.94,-13.98,8.15,0.02
347.0,117.02,2.34,243.54,1.96,-14.47,8.15,0.01
347.5,106.17,2.32,243.41,1.99,-15.55,8.16,0.0
348.0,99.32,2.31,243.42,2.0,-17.3,8.18,0.0
348.5,98.55,2.3,243.32,2.0,-18.42,8.3,0.01
349.0,100.51,2.32,243.97,2.0,-17.9,8.38,0.03
349.5,103.17,2.34,251.16,1.99,-16.68,8.38,0.04
350.0,106.68,2.35,265.38,1.98,-15.55,8.38,0.05
350.5,108.54,2.36,272.36,1.95,-14.65,8.38,0.04
351.0,105.62,2.35,272.3,1.9,-13.54,8.38,0.03
351.5,103.15,2.35,270.26,1.84,-11.59,8.38,0.02
352.0,108.54,2.37,267.66,1.77,-8.35,8.37,0.01
352.5,119.12,2.38,268.98,1.71,-4.15,8.3,0.02
353.0,124.43,2.36,274.45,1.66,-0.39,8.36,0.02
353.5,126.01,2.31,278.8,1.63,1.79,8.41,0.02
354.0,129.81,2.27,286.61,1.62,2.25,8.71,0.03
354.5,131.17,2.29,299.14,1.66,1.38,8.43,0.11
355.0,127.32,2.4,303.27,1.74,-0.11,8.15,0.22
355.5,118.09,2.45,304.34,1.89,-1.21,8.15,0.22
356.0,107.65,2.44,312.24,2.12,-1.8,8.15,0.12
356.5,96.45,2.44,320.85,2.48,-2.59,8.15,0.05
357.0,86.58,2.46,295.48,3.01,-3.85,8.15,0.03
357.5,78.96,2.51,238.07,3.75,-5.55,8.15,0.03
358.0,66.64,2.56,212.23,4.86,-7.5,8.15,0.02
358.5,53.36,2.6,214.51,6.53,-9.64,8.15,0.01
359.0,44.36,2.63,217.69,8.63,-11.58,8.15,-0.0
359.5,36.7,2.64,218.8,10.61,-12.86,8.15,-0.01
360.0,30.07,2.66,219.64,11.11,-13.32,8.15,-0.01
360.5,25.36,2.66,221.04,9.49,-13.17,8.15,-0.01
361.0,27.89,2.62,226.39,7.24,-12.54,8.15,-0.01
361.5,40.28,2.56,237.59,5.39,-11.49,8.15,-0.0
362.0,56.08,2.49,246.34,4.09,-10.34,8.15,0.01
362.5,71.22,2.45,247.76,3.33,-9.83,8.15,0.02
363.0,80.45,2.41,246.49,2.83,-10.07,8.15,0.03
363.5,87.31,2.38,245.75,2.49,-10.55,8.15,0.03
364.0,98.33,2.36,245.29,2.26,-11.63,8.15,0.04
364.5,108.38,2.36,244.61,2.09,-13.27,8.15,0.05
365.0,115.01,2.38,245.07,1.99,-14.83,8.15,0.06
365.5,114.5,2.4,246.3,1.94,-16.31,8.15,0.06
366.0,111.61,2.39,246.33,1.92,-18.17,8.2,0.04
366.5,113.73,2.37,243.55,1.91,-20.35,8.21,0.03
367.0,112.63,2.36,227.54,1.91,-21.53,8.23,0.03
367.5,106.27,2.36,197.34,1.91,-20.8,8.28,0.02
368.0,102.75,2.37,179.6,1.92,-18.55,8.38,0.01
368.5,106.92,2.37,164.59,1.95,-16.09,8.38,0.02
369.0,112.52,2.38,139.74,1.99,-14.02,8.38,0.02
369.5,115.74,2.38,126.53,2.04,-12.59,8.38,0.02
370.0,122.67,2.37,125.46,2.08,-11.61,8.38,0.01
370.5,128.08,2.37,126.9,2.12,-10.71,8.38,0.01
371.0,119.51,2.38,127.61,2.15,-9.85,8.38,0.01
371.5,111.75,2.39,127.55,2.16,-9.08,8.34,0.01
372.0,117.96,2.39,127.41,2.17,-8.39,8.3,0.01
372.5,122.6,2.39,127.76,2.17,-7.46,8.3,0.0
373.0,123.97,2.39,128.24,2.17,-6.08,8.3,-0.0
373.5,128.52,2.41,128.37,2.18,-4.57,8.3,-0.0
374.0,128.33,2.41,128.92,2.2,-3.13,8.3,-0.0
374.5,126.29,2.41,130.35,2.23,-2.18,8.3,-0.0
375.0,129.31,2.4,131.22,2.27,-2.62,8.3,-0.01
375.5,126.14,2.39,131.8,2.3,-4.94,8.38,-0.0
376.0,115.11,2.39,131.57,2.33,-8.73,8.37,0.0
376.5,105.45,2.38,129.18,2.35,-11.88,8.37,0.0
377.0,100.27,2.37,124.51,2.37,-12.26,8.38,0.0
377.5,95.31,2.37,119.89,2.38,-9.87,8.38,0.0
378.0,93.69,2.39,117.02,2.37,-6.51,8.34,0.01
378.5,100.45,2.42,117.19,2.34,-4.41,8.3,0.03
379.0,112.46,2.42,120.3,2.3,-4.27,8.23,0.03
379.5,120.29,2.41,124.05,2.24,-4.75,8.23,0.03
380.0,118.66,2.4,126.81,2.19,-5.23,8.23,0.02
380.5,111.32,2.39,128.37,2.14,-5.99,8.23,0.01
381.0,106.55,2.38,128.81,2.1,-6.97,8.23,-0.0
381.5,110.1,2.37,129.01,2.08,-8.12,8.23,-0.0
382.0,116.01,2.36,128.78,2.07,-8.71,8.23,-0.01
382.5,117.39,2.35,127.93,2.07,-8.42,8.23,-0.01
383.0,118.0,2.36,127.21,2.07,-7.74,8.23,-0.0
383.5,118.21,2.37,126.87,2.09,-7.05,8.23,-0.0
384.0,117.25,2.39,127.04,2.1,-6.47,8.23,-0.0
384.5,117.9,2.4,127.88,2.12,-5.82,8.23,-0.0
385.0,116.1,2.4,128.21,2.14,-4.81,8.23,-0.0
385.5,113.76,2.39,127.96,2.16,-3.62,8.23,-0.0
